ID,Название,Корпус,Этаж,areaId,Рекомендуемый ID слоя,Путь в Figma
1000,Входная группа,B1,1,b1f1-enter,b1f1-enter,Building_B1/Floor_1/Services
1001,Отдел писем,B1,1,b1f1-letter,b1f1-letter,Building_B1/Floor_1/Services
1002,КРОК кофе,B1,1,b1f1-coffee,b1f1-coffee,Building_B1/Floor_1/Services
1003,Банкомат Сбербанка,B1,1,b1f1-atm,b1f1-atm,Building_B1/Floor_1/Services
1004,Вендинг,B1,1,b1f1-vending,b1f1-vending,Building_B1/Floor_1/Services
1005,Гардероб,B1,1,b1f1-garderob,b1f1-garderob,Building_B1/Floor_1/Services
1006,Лифты,B1,1,b1f1-elevator-1,b1f1-elevator-1,Building_B1/Floor_1/Services
1007,Charity Shop,B1,1,b1f1-charity-shop,b1f1-charity-shop,Building_B1/Floor_1/Services
1008,EcoPoint,B1,1,b1f1-eco-point,b1f1-eco-point,Building_B1/Floor_1/Services
1009,Утилизация батареек,B1,1,b1f1-batteries,b1f1-batteries,Building_B1/Floor_1/Services
1010,Утилизация бумаги,B1,1,service_Утилизация-бумаги,service_Утилизация-бумаги,Building_B1/Floor_1/Services
1011,Станция мониторинга воздуха AirVisual,B1,1,b1f1-air,b1f1-air,Building_B1/Floor_1/Services
1012,Конференц-зал + холл перед ним,B1,2,b1f2-212,b1f2-212,Building_B1/Floor_2/Services
1013,Переговорка,B1,2,b1f2-212a,b1f2-212a,Building_B1/Floor_2/Services
1014,Конференц-зал,B1,2,b1f2-214,b1f2-214,Building_B1/Floor_2/Services
1015,Переговорная 204,B1,2,b1f2-204,b1f2-204,Building_B1/Floor_2/Services
1016,Переговорная 206,B1,2,b1f2-206,b1f2-206,Building_B1/Floor_2/Services
1017,Переговорная 208,B1,2,b1f2-208,b1f2-208,Building_B1/Floor_2/Services
1018,Переговорная 210,B1,2,b1f2-210,b1f2-210,Building_B1/Floor_2/Services
1019,Учебный класс (аудитория  202),B1,2,b1f2-202,b1f2-202,Building_B1/Floor_2/Services
1020,Мультимедийный класс,B1,2,b1f2-2b,b1f2-2b,Building_B1/Floor_2/Services
1021,Столовая,B1,2,service_Столовая,service_Столовая,Building_B1/Floor_2/Services
1022,Утилизация пластиковых крышек,B1,2,service_Утилизация-пластиковых-крышек,service_Утилизация-пластиковых-крышек,Building_B1/Floor_2/Services
1023,Утилизация бумаги,B1,2,service_Утилизация-бумаги,service_Утилизация-бумаги,Building_B1/Floor_2/Services
1024,Зона для настолок в столовой,B1,2,service_Зона-для-настолок-в-столовой,service_Зона-для-настолок-в-столовой,Building_B1/Floor_2/Services
1025,Буфет,B1,2,area_201,area_201,Building_B1/Floor_2/Services
1026,Кикер,B1,3,area_холл-(оранжевый-квадратик-на-карте-),area_холл-(оранжевый-квадратик-на-карте-),Building_B1/Floor_3/Services
1027,Переговорная,B1,3,area_3Б,area_3Б,Building_B1/Floor_3/Services
1028,Переговорная,B1,3,area_306,area_306,Building_B1/Floor_3/Services
1029,Комната отдыха,B1,3,area_316,area_316,Building_B1/Floor_3/Services
1030,Спортзал,B1,3,area_318,area_318,Building_B1/Floor_3/Services
1031,Раздевалка и душевые (спортзал),B1,3,area_318,area_318,Building_B1/Floor_3/Services
1032,Стоматологический кабинет,B1,3,area_308,area_308,Building_B1/Floor_3/Services
1033,Кабинет парикмахера и мастера по маникюру,B1,3,area_314,area_314,Building_B1/Floor_3/Services
1034,,B1,3,service_,service_,Building_B1/Floor_3/Services
1035,Массажный кабинет,B1,3,area_308А,area_308А,Building_B1/Floor_3/Services
1036,Переговорная,B1,4,area_402-Б,area_402-Б,Building_B1/Floor_4/Services
1037,Переговорная,B1,4,area_402-Г,area_402-Г,Building_B1/Floor_4/Services
1038,Переговорная,B1,4,area_402-Д,area_402-Д,Building_B1/Floor_4/Services
1039,Переговорная,B1,4,area_402-Е,area_402-Е,Building_B1/Floor_4/Services
1040,Переговорная,B1,4,area_402-З,area_402-З,Building_B1/Floor_4/Services
1041,Переговорная,B1,4,area_402-И,area_402-И,Building_B1/Floor_4/Services
1042,Переговорная,B1,4,area_402-К,area_402-К,Building_B1/Floor_4/Services
1043,Переговорная,B1,4,area_402-Л,area_402-Л,Building_B1/Floor_4/Services
1044,Переговорная,B1,4,area_4Б,area_4Б,Building_B1/Floor_4/Services
1045,Мини-кухня,B1,4,area_с-3-11,area_с-3-11,Building_B1/Floor_4/Services
1046,Ресепшен,B1,4,service_Ресепшен,service_Ресепшен,Building_B1/Floor_4/Services
1047,Зона ожидания,B1,4,service_Зона-ожидания,service_Зона-ожидания,Building_B1/Floor_4/Services
1048,Переговорная,B1,5,area_504,area_504,Building_B1/Floor_5/Services
1049,Мини-кухня,B1,5,area_с-3-11,area_с-3-11,Building_B1/Floor_5/Services
1050,Ресепшен,B1,5,service_Ресепшен,service_Ресепшен,Building_B1/Floor_5/Services
