Tilda UID;Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;Price Old;Editions;Modifications;External ID;Parent UID;Weight;Length;Width;Height;Url;Ккал;Белки;Жиры;Углеводы
865092870622;;;;Бизнес-завтрак;Каша из киноа на кокосовом молоке с сахаром, фруктами и орехами;;;;460.00;;;;;DvaR84OU8jphpmNs3GHJ;;300;0;0;0;https://zabota.croc.ru/tproduct/1685757811-865092870622-kasha-iz-kinoa-na-kokosovom-moloke-s-sah;199;5;12;17
478295549262;;;;Бизнес-завтрак;Блинчики с мясом;;;;280.00;;;;;o73UXF2IOdsvNga7f1YO;;140;0;0;0;https://zabota.croc.ru/tproduct/1685757811-478295549262-blinchiki-s-myasom;192;11;6;23
746882647492;;;;Бизнес-завтрак;Блинчики с творогом;;;;260.00;;;;;yIukGmsLb8Iv73GmasmL;;140;0;0;0;https://zabota.croc.ru/tproduct/1685757811-746882647492-blinchiki-s-tvorogom;197;10;8;21
802836843012;;;;Бизнес-завтрак;Блинчики с клубнично сливочной начинкой и ягодным соусом;;;;280.00;;;;;45U37P5muCrsJfxZB1ps;;200;0;0;0;https://zabota.croc.ru/tproduct/1685757811-802836843012-blinchiki-s-klubnichno-slivochnoi-nachin;429;10;21;50
513409357212;;;;Бизнес-завтрак;Сырники из творога со свежими фруктами и муссом из сметаны;;;;300.00;;;;;tg4yXeXuKgORSg4oaTkP;;150;0;0;0;https://zabota.croc.ru/tproduct/1685757811-513409357212-sirniki-iz-tvoroga-so-svezhimi-fruktami;478;30;26;30
749615411662;;;;Бизнес-завтрак;Салат фруктовый с орехами;;;;300.00;;;;;s6BHCR3732AuN12Dbtzr;;300;0;0;0;https://zabota.croc.ru/tproduct/1685757811-749615411662-salat-fruktovii-s-orehami;113;2;4;18
705404293232;;;;Бизнес-завтрак;Хрустящая гранола;;;;300.00;;;;;LDZ237gN7gvfOHKVCU8X;;215;0;0;0;https://zabota.croc.ru/tproduct/1685757811-705404293232-hrustyaschaya-granola;474;7;22;59
565811641342;;;;Бизнес-завтрак;Скрембл с помидорами, авокадо и миксом салатных листьев;;;;450.00;;;;;x1CdjJgf9kbMa9YOR0PD;;150;0;0;0;https://zabota.croc.ru/tproduct/1685757811-565811641342-skrembl-s-pomidorami-avokado-i-miksom-sa;159;12;11;4
823154168162;;;;Бизнес-завтрак;Яичница с колбасой из индейки, беконом и белой фасолью;;;;420.00;;;;;AVVzhr8x0br9fSeji26R;;80;0;0;0;https://zabota.croc.ru/tproduct/1685757811-823154168162-yaichnitsa-s-kolbasoi-iz-indeiki-bekonom;199;16;12;6
188882700542;;;;Бизнес-завтрак;Шакшука с овощами;;;;320.00;;;;;RHCsVB0tyH1IMXbV0khb;;200;0;0;0;https://zabota.croc.ru/tproduct/1685757811-188882700542-shakshuka-s-ovoschami;85;5;5;4
712364700422;;;;Бизнес-завтрак;Омлет конвертик фаршированный овощами, ветчиной и сыром;;;;400.00;;;;;3d4NcGYO5Co46ap7xu6o;;170;0;0;0;https://zabota.croc.ru/tproduct/1685757811-712364700422-omlet-konvertik-farshirovannii-ovoschami;97;4;3;13
