корпус,этаж, Категория,Локация,Название,Есть в макетах?,Описание, Дополнительный комментарий ,Контакты,Ссылка,Время работы (где нужно),Фото,ДОП коммент 
Альфа,1,Без категории ,,Входная группа ,Да,зона ожидания https://andreymashkin.ru/disk/share/Y76a8zsnZ8qv6,зона ожидания https://andreymashkin.ru/disk/share/Y76a8zsnZ8qv6,,,,https://andreymashkin.ru/disk/share/7KAD3WueOqq86,
Альфа,1,Сервис ,108,Отдел писем ,Да,"Приём и выдача корреспонденции

Дополнителньог смотри информацию про Почтовые отправления и курьерскую доставку (https://jive.croc.ru/community/knowledge/everyday/social/pochtovye-otpravleniya-i-kurerskaya-dostavka)",,"тел. #4940
Otdel_pisem@croc.ru",https://jive.croc.ru/community/knowledge/everyday/social/sekretariat#post,График работы: понедельник пятница с 9:00 до 23:00,"Картинка с зеленым кроковским  конвертиком, например, фото не делаем ",
Альфа,1,Питание ,,КРОК кофе ,Да,"Точка подзарядки вкусным кофе
",,,,График работы: понедельник пятница с 9:00 до 20:00,https://andreymashkin.ru/disk/share/eeVndbCkDv3zb,
Альфа,1,Питание ,,Вендинг + банкомат Сбербанка ,Да,"Быстрый перекус или полноценный обед в «шаговой» доступности.
1 этаж Альфа и Бета - микромаркет ВкусВилл;
 5, 6, 7, 8, 9, 10 этажи Альфа – вэндинг со снэками.

Банкомат: Сбербанк, работает на внесение и снятие наличных денежных средств ",,"Для вендинга ОС - foodfeedback@croc.ru
",,Круглосуточно,"https://yandex.ru/images/search?from=tabbar&img_url=https%3A%2F%2Fwww.niasam.ru%2F221783_i_gallerybig.jpg&lr=213&pos=1&rpt=simage&text=%D0%BA%D0%B0%D1%80%D1%82%D0%B8%D0%BD%D0%BA%D0%B0%20%D0%B1%D0%B0%D0%BD%D0%BA%D0%BE%D0%BC%D0%B0%D1%82%D0%B0%20
https://yandex.ru/images/search?from=tabbar&img_url=https%3A%2F%2Fimg.freepik.com%2Fpremium-vector%2Fvending-machine-snack-drink_6427-85.jpg%3Fw%3D2000&lr=213&pos=0&rpt=simage&text=%D0%BA%D0%B0%D1%80%D1%82%D0%B8%D0%BD%D0%BA%D0%B0%20%D0%B2%D0%B5%D0%BD%D0%B4%D0%B8%D0%BD%D0%B3%D0%B0",
Альфа,1,Сервис ,,Гардероб,Да,"Гардероб предназначен для хранения верхней одежды, а также обуви в пакетах.
В гардеробе альфа расположены Локеры, которые предназначены для хранения пакетов, зонтов и других личных вещей небольшого размера.

Для удобства все ячейки пронумерованы.",,"Альфа - VOnufreichik@croc.ru
Бета - AntKalinin@croc.ru","Информационно: 
Для поддержания чистоты и комфортности использования просим не оставлять в ячейках еду и напитки.

Хранение личных вещей предполагается только в течение одного рабочего дня, запирать локер на более длительный период и уносить ключ домой запрещено.",Круглосуточно,https://andreymashkin.ru/disk/share/XRYPVXsx76v3P,
Альфа,1,Сервис ,,Лифты,Да,"При застревании в лифте соблюдайте спокойствие и действуйте согласно инструкции, расположенной на панели управления в каждом лифте.

При неисправности лифта следует:
нажать колокольчик и описать
ситуацию диспетчеру
ЛИБО
позвонить 8 (495) 974-22-74
доб 83-02, 83-03, круглосуточно
ЛИБО
позвонить дежурному лифтеру
ООО «ЛифтКомплекс» 8 (495) 974-22-74
доб 83-01.",,FieldService@croc.ru,,Круглосуточно ,https://andreymashkin.ru/disk/share/y0rVxlSZKk8Xo," (подсветить только 1 этаж коопуса 1 и 3 , для информации) "
Альфа,1,Эко-инициативы,,Charity Shop,Да,"Пункт сбора ненужной одежды для переработки и вторичного использования




",,WorkCare@croc.ru,https://jive.croc.ru/photos/4216,,,
Альфа,1,Эко-инициативы,,"EcoPoint






",Да,"Точка сбора трудноперерабатываемых отходов
Собираем: ручки и фломастеры, блистеры от таблеток, постельное бельё (позже заменим на пластиковые карты / LEGO), зубные щётки.

Больше информации: https://jive.croc.ru/docs/DOC-239136",,WorkCare@croc.ru,,,,
Альфа,1,Эко-инициативы,,Утилизация батареек ,Да,"Точка утилизации батареек

Больше информации: https://jive.croc.ru/docs/DOC-239136",,WorkCare@croc.ru,,,https://chistogradplyus.ru/products/343841621-urna_dlya_sbora_batareyek?utm_referrer=https%3A%2F%2Fyandex.ru%2Fimages%2Fsearch%3Fcbir_id%3D1871052%252FIS3-FCNbh6lhUdyxaCCkDA5906%26rpt%3Dimageview%26url%3Dhttps%253A%252F%252Favatars.mds.yandex.net%252Fget-images-cbir%252F1871052%252FIS3-FCNbh6lhUdyxaCCkDA5906%252Forig%26cbir_page%3Dsearch-by-image,
Альфа,1,Эко-инициативы,,"Утилизация бумаги

",??,"Точка сбора бумаги
можно поставить у лифтового холла однотипно для всех локаций ","Альфа
3, 4, 5, 10, 11 этажи – шредер 
9 этаж  – контейнер для бумаги
1, 2, 6, 7, 8 этажи – ничего нет 

Бета
3, 4, 9 этажи – контейнеры для бумаги
7, 11 этажи – шредер 
1, 2, 5, 6, 8, 10 этажи  – ничего нет",WorkCare@croc.ru,https://jive.croc.ru/photos/4205,,,"сделать типовую точку на каждом этаже , пример во вложении, где шредер написать шредер "
